Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Test Type,Memory(avg) [MB],Disc Write [MB]
/node-besu9,0.15125,0.09,0.906,0.906,0.00,0.00,0.00,0.00,query_report,,
/node-besu10,0.03625,0.03125,0.831,0.831,0.00,0.00,0.00,0.00,query_report,,
/node-besu6,0.11,0.0825,0.991,0.991,0.00,0.00,80.0,0.00,query_report,,
/node-besu7,0.0775,0.05875,1.07,1.07,0.00,0.00,64.0,0.00,query_report,,
/node-besu1,0.05375,0.04625,1.64,1.64,0.00,0.00,0.00,0.00,query_report,,
/node-besu8,0.025,0.02375,0.595,0.595,0.00,0.00,136,0.00,query_report,,
/node-besu5,0.03,0.02875,0.824,0.824,0.00,0.00,52.0,0.00,query_report,,
/node-besu3,0.02625,0.025,0.810,0.810,0.00,0.00,92.0,0.00,query_report,,
/node-besu4,0.06125,0.045,0.868,0.853,0.00,0.00,72.0,0.00,query_report,,
/node-besu2,0.02625,0.025,0.654,0.654,0.00,0.00,56.0,0.00,query_report,,
/node-besu9,1.92625,0.94875,0.905,,0.00,0.00,,0.00,open_report,797,1.94
/node-besu10,1.45625,0.79125,0.815,,0.00,0.00,,0.00,open_report,614,2.29
/node-besu6,3.1125,1.08375,0.993,,0.00,0.00,,0.00,open_report,880,1.29
/node-besu7,1.53875,0.79875,1.07,,0.00,0.00,,0.00,open_report,886,2.53
/node-besu1,3.4725,1.43875,1.63,,0.00,0.00,,0.00,open_report,772,2.00
/node-besu8,1.43125,0.81,0.594,,0.00,0.00,,0.00,open_report,587,1.47
/node-besu5,2.10375,0.9525,0.829,,0.00,0.00,,0.00,open_report,674,2.57
/node-besu3,1.45625,0.82125,0.816,,0.00,0.00,,0.00,open_report,792,2.23
/node-besu4,1.39375,0.83125,0.803,,0.00,0.00,,0.00,open_report,631,2.59
/node-besu2,2.185,0.98,0.653,,0.00,0.00,,0.00,open_report,576,2.48
/node-besu9,0.87875,0.32,0.914,0.908,0.00,0.00,200,0.00,transfer_report,,
/node-besu10,1.17625,0.455,0.834,0.833,0.00,0.00,0.00,0.00,transfer_report,,
/node-besu6,0.93625,0.365,1.09,1.05,0.00,0.00,240,0.00,transfer_report,,
/node-besu7,1.35125,0.58125,1.08,1.08,0.00,0.00,248,0.00,transfer_report,,
/node-besu1,2.03375,0.795,1.65,1.65,0.00,0.00,404,0.00,transfer_report,,
/node-besu8,1.18625,0.52375,0.657,0.637,0.00,0.00,264,0.00,transfer_report,,
/node-besu5,1.105,0.5425,0.858,0.841,0.00,0.00,220,0.00,transfer_report,,
/node-besu3,1.61375,0.5925,0.814,0.811,0.00,0.00,0.00,0.00,transfer_report,,
/node-besu4,1.3,0.555,0.999,0.960,0.00,0.00,244,0.00,transfer_report,,
/node-besu2,1.1975,0.44125,0.706,0.678,0.00,0.00,240,0.00,transfer_report,,
