Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Memory(avg) [GB],Disc Write [KB]
/node-besu5,0.48041666666666666,0.09833333333333333,0.522,513,0.00,0.00,1.36,0.00,open_report,0,,
/node-besu2,0.13708333333333333,0.034583333333333334,0.550,525,0.00,0.00,1.34,0.00,open_report,0,,
/node-besu6,0.14791666666666667,0.044583333333333336,0.494,478,0.00,0.00,0.801,0.00,open_report,0,,
/node-besu1,0.2808333333333333,0.09291666666666666,1.04,734,0.00,0.00,2.07,0.00,open_report,0,,
/node-besu3,0.13708333333333333,0.034166666666666665,0.521,514,0.00,0.00,1.29,0.00,open_report,0,,
/node-besu4,0.13333333333333333,0.049166666666666664,0.514,502,0.00,0.00,1.34,0.00,open_report,0,,
/node-besu5,0.0033333333333333335,0.0033333333333333335,0.546,,0.00,0.00,,0.00,query_report,0,0.544,40.0
/node-besu2,0.0033333333333333335,0.002916666666666667,0.550,,0.00,0.00,,0.00,query_report,0,0.550,32.0
/node-besu6,0.0033333333333333335,0.002916666666666667,0.494,,0.00,0.00,,0.00,query_report,0,0.494,0.00
/node-besu1,0.005,0.00375,1.04,,0.00,0.00,,0.00,query_report,0,1.04,196
/node-besu3,0.0033333333333333335,0.002916666666666667,0.521,,0.00,0.00,,0.00,query_report,0,0.521,32.0
/node-besu4,0.010416666666666666,0.007083333333333334,0.514,,0.00,0.00,,0.00,query_report,0,0.514,36.0
/node-besu5,0.11291666666666667,0.057916666666666665,0.562,,0.00,0.00,,0.00,transfer_report,0,0.562,48.0
/node-besu2,0.1425,0.07291666666666667,0.550,,0.00,0.00,,0.00,transfer_report,0,0.550,48.0
/node-besu6,0.002916666666666667,0.002916666666666667,0.507,,0.00,0.00,,0.00,transfer_report,0,0.500,160
/node-besu1,0.00375,0.0033333333333333335,1.05,,0.00,0.00,,0.00,transfer_report,0,1.05,68.0
/node-besu3,0.0033333333333333335,0.002916666666666667,0.540,,0.00,0.00,,0.00,transfer_report,0,0.531,72.0
/node-besu4,0.002916666666666667,0.0025,0.516,,0.00,0.00,,0.00,transfer_report,0,0.515,52.0
