Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB]
/node-besu4,0.13958333333333334,0.0375,489,467,0.00,0.00,1.28,0.00,open_report,0,
/node-besu3,0.015833333333333335,0.009166666666666667,600,546,0.00,0.00,0.00,0.00,open_report,0,
/node-besu2,0.46166666666666667,0.13666666666666666,521,501,0.00,0.00,1.27,0.00,open_report,0,
/node-besu6,0.024999999999999998,0.015,501,470,0.00,0.00,1.30,0.00,open_report,0,
/node-besu1,0.3529166666666667,0.09791666666666667,786,666,0.00,0.00,1.48,0.00,open_report,0,
/node-besu5,0.059166666666666666,0.03125,530,495,0.00,0.00,1.23,0.00,open_report,0,
/node-besu4,0.0425,0.02291666666666667,489,489,0.00,0.00,,0.00,query_report,0,44.0
/node-besu3,0.01375,0.008333333333333333,600,600,0.00,0.00,,0.00,query_report,0,668
/node-besu2,0.008333333333333333,0.005416666666666667,516,516,0.00,0.00,,0.00,query_report,0,48.0
/node-besu6,0.008749999999999999,0.005833333333333334,490,490,0.00,0.00,,0.00,query_report,0,44.0
/node-besu1,0.013333333333333334,0.012916666666666667,781,779,0.00,0.00,,0.00,query_report,0,16.0
/node-besu5,0.008333333333333333,0.005833333333333334,541,541,0.00,0.00,,0.00,query_report,0,48.0
/node-besu4,0.03125,0.020833333333333332,489,488,0.00,0.00,,0.00,transfer_report,0,76.0
/node-besu3,0.015833333333333335,0.009583333333333334,601,601,0.00,0.00,,0.00,transfer_report,0,60.0
/node-besu2,0.002916666666666667,0.002916666666666667,517,517,0.00,0.00,,0.00,transfer_report,0,56.0
/node-besu6,0.002916666666666667,0.002916666666666667,494,492,0.00,0.00,,0.00,transfer_report,0,76.0
/node-besu1,0.007083333333333334,0.005,782,781,0.00,0.00,,0.00,transfer_report,0,0.00
/node-besu5,0.008333333333333333,0.005833333333333334,545,543,0.00,0.00,,0.00,transfer_report,0,64.0
